id,lng,lat,name,regnumber,industry,reglocation,businessscope,phonenumber,email,regcapital,regstatus,reginstitute,legalpersonname,approvedtime,estiblishtime,totime,updatetimes,companyorgtype,base,actualcapital,orgapprovedinstitute,orgnumber,branchcount,investcount,comabnoinfo,companybidcount,copyrightregcount,investorcount,empcount,staffcount,comchaninfocount,annurepyear,comabnoinfocount,patentcount,lawsuitcount,bondcount,tmcount,investorlist,stafflist,stafflisttypejoin
1,104.6091875,31.49294556,中国重汽集团绵阳专用汽车有限公司  ,5.11E+14,汽车制造业,绵阳高新区防震减灾产业园,"专用汽车、汽车零部件制造、销售，商用车销售,货物、技术进出口（法律、法规禁止项目除外，限制项目凭许可证经营）。",0816-7107068,myzhglb@sinotruk.com,5000,存续,四川省绵阳市工商局高新分局,颜家智,20090626,20120620,20390634,20160519,有限责任公司（自然人投资或控股的法人独资）,sc,,,,0,0,0,0,0,1,5,11,0,3,0,2,1,0,0,中国重汽集团济南动力有限公司,"雷鸣，张文昌，吴毅，沈娟，王涤非，曹长新,余增，颜家智，敬晓琴,许雷华，陈钢战，",董事，监事，董事，监事，监事，董事，董事，董事长，监事，董事，董事，
2,104.437286,31.780721,绵阳市东辰磁性材料有限公司,5.11E+14,计算机、通信和其他电子设备制造业,北川羌族自治县擂鼓镇新街331号,普通货运。磁性材料及元器件、磁电机、电子产品、包装材料、医用磁性保健材料及器具的制造、销售。,0816-4893996,mydccc@163.com,100,存续,四川省绵阳市北川县工商行政管理局,嘉衡,19991210,20041101,20371008,20160523,有限责任公司(自然人独资),sc,,,,0,0,0,0,0,1,4,2,0,3,0,7,0,0,0,嘉衡,卢杰，嘉衡，,监事，执行董事兼总经理，
3,104.6876025,31.46978098,绵阳赛茂科技有限公司  ,5.11E+14,计算机、通信和其他电子设备制造业,绵阳高新区火炬东街19号,"电子信息类磁性产品、电子应用类技术产品、电子专用设备、仪器、仪表、家用电器、音（视）产品、电子元器件及相关原材料的研究、开发、生产、销售，有色金属（须审批的品种除外）、磁疗保健用品及珠宝工艺品、机电产品的销售，提供电子技术服务,电子产品进出口（法律、法规禁止和限制产品除外）。",0816-2531965,1308672361@qq.com,100,存续,四川省绵阳市工商局高新分局,许天奇,19931108,20110510,29991231,20150428,有限责任公司（自然人投资或控股的法人独资）,sc,,,,0,0,0,0,0,1,0,6,0,3,0,0,8,0,0,西南应用磁学研究所,刘强，赵淳，许天奇，赵七一，薛勇健，蒋运石，,董事长，董事，董事长，董事，董事，董事，
4,104.9331493,31.95242667,江油市重鑫特种金属材料有限公司,5.11E+14,有色金属冶炼和压延加工业,江油市武都镇五通村六组,特种冶金制品及相关原辅材料、特种钢材、工模具钢、高温合金、钛合金、金属制品的生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,0816-3872213,jyzhongxin@126.com,1800,存续,四川省绵阳市江油市工商行政管理局,孙建国,20051228,20051228,20551227,20160624,有限责任公司(自然人投资或控股),sc,,,,0,,0,0,0,7,0,3,0,3,0,10,0,0,0,王遇元，范飞翔，吕建立，王辉，李先伟，高宝清，孙建国，,"王辉,孙建国,王遇元,","监事,执行董事,经理,"
5,104.678069,31.473335,四川圣光科技有限公司,5.11E+14,科技推广和应用服务业,绵阳高新区创业服务中心孵化大楼314号,信息技术产品、光电子产品、机械设备、化工设备的研制、批发及零售，货物及技术的进出口（法律、法规禁止项目除外，限制项目凭许可证经营），新能源、新材料及节能环保技术开发、技术咨询、技术服务、技术转让，企业形象策划，企业管理咨询。,18011132083,1303108333@qq.com,100,存续,四川省绵阳市工商局高新分局,刘明,20150316,20150316,29991231,20150316,有限责任公司(自然人投资或控股),,,,,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,刘明，徐晓，,刘明，徐晓，,执行董事兼总经理，监事，
6,104.705165,31.46891714,四川九洲光电科技股份有限责任公司,5.11E+14,计算机、通信和其他电子设备制造业,绵阳市科创园区九洲国际软件园,城市及道路照明工程的设计、施工（凭许可证经营）。光电子产品、LED点阵模块、LED显示屏、LED数码管、发光二极管、LED背光源、LED驱动电源、LED广告灯箱、LED电器用品、太阳能光源产品、半导体照明软硬件、光电子产品的设计、制造、销售及系统集成，照明灯饰、半导体元器件及材料的生产和销售，商品进出口业务（国家禁止的除外，限制的品种凭许可证经营），节能技术服务。,0816-2471120,jt.chen@scjz-led.com,17433.5,"存续
","四川省绵阳市工商行政管理局
","谢拥军
",20070428,20070428,29991231,20160720,股份有限公司(非上市、国有控股),,,,,1,3,0,3,2,3,0,10,2,3,0,105,7,0,,四川九洲电器集团有限责任公司，四川蜀祥投资有限公司，,吴江，何刚，谢拥军，但丁，郑智元，杨远林，刘定林，杜力平，王远谋，卿朝勇，,董事，董事，董事长，董事，董事，监事，董事，董事，监事，监事，
7,104.2583414,31.96252731,北川泰和新材料有限公司,5.11E+14,化学原料和化学制品制造业,北川羌族自治县永昌镇山东产业园区,粘合剂、聚氨酯弹性体、固化剂、夹胶及防弹玻璃的研发、生产、销售；稀释剂的加工、销售。,0816-8195015,476541586@qq.com,2600,存续,四川省绵阳市北川县工商行政管理局,包忠平,20091112,20091112,29991231,20160913,有限责任公司(自然人投资或控股),,,,,0,0,0,0,0,3,0,3,2,3,0,6,0,0,,张丹，包忠平，封同林，,张丹，包忠平，封同林，,监事，执行董事，总经理，
8,104.829128,31.40538,四川物科光学精密机械有限公司,5.11E+14,仪器仪表制造业,绵阳市游仙经济开发区凯越路1号,光学、机械、电子产品、光机电一体化产品的设计、研发、生产、销售及技术服务；计算机软件的开发、销售及技术服务；机械加工，光学元件加工；光钎器件，电子元器件，金属材料，光学玻璃，仪器仪表的销售及以上相关产品和技术的进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,0816-6204826,guanghailiu@163.com,500,存续,四川省绵阳市游仙区工商行政管理局,龙本兰,20150319,20150319,29991231,20160616,有限责任公司(自然人投资或控股),,,,,0,0,0,0,0,2,4,2,4,1,0,0,0,0,,龙本兰，刘光海，,刘光海，龙本兰，,监事，执行董事，
9,102.8991597,30.36748094,四川特锐祥科技股份有限公司,5.11E+14,计算机、通信和其他电子设备制造业,绵阳市游仙经济开发区三江路1号,电子、电器、电工、电气产品研发、生产、销售，五金零部件研发、生产、销售，包装材料及耗材的设计、生产、销售，化工材料（不含易燃易爆易制毒品）销售，计算机软件开发及销售，自营产品的进出口。,0816-6167066,1141745050@qq.com?,1000,存续,四川省绵阳市工商行政管理局,崔玉琼,20140122,20140122,20340122,20140122,股份有限公司(非上市、自然人投资或控股),,,,,0,1,0,0,0,2,1,8,1,2,0,0,0,0,,李莉，崔玉琼，,李莉，王振强，刘福，蔡鑫，刘世军，杨永春，崔玉琼，邓良泽，,董事，董事，监事，监事，董事，监事，董事长，董事，
10,105.119908,31.07731,四川三台力达泵业有限公司,5.11E+14,通用设备制造业,三台县青东坝工业集中区,生产、销售：泵类产品及配件。五金标件、通用机械及配件。电机、化工建材、生铁、炉料、铁合金销售，机电提（排）灌站、泵站、节水灌溉设计、制作及安装，温室、大棚制作及安装。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,0816-5345281,1056353002@qq.com,2000,存续,四川省绵阳市三台县工商行政管理局,何良贵,19950530,20050520,20200520,20160105,有限责任公司(自然人投资或控股),,,,,0,1,0,0,0,3,0,2,2,3,0,0,1,0,,李素琼，何良贵，何林，,何林，何良贵，,监事，执行董事，
